"Index","KrakenXrpUsd.Open","KrakenXrpUsd.High","KrakenXrpUsd.Low","KrakenXrpUsd.Close","KrakenXrpUsd.Volume","KrakenXrpUsd.Adjusted"
2017-09-25T20:00:00.000Z,0.18476,0.18699,0.18349,0.18558,358444.66198289,0.18558
2017-09-26T00:00:00.000Z,0.18509,0.18670,0.18357,0.18448,602911.95291527,0.18448
2017-09-26T04:00:00.000Z,0.18448,0.18526,0.18110,0.18394,818580.65866001,0.18394
2017-09-26T08:00:00.000Z,0.18432,0.18580,0.18400,0.18505,203436.07865234,0.18505
2017-09-26T12:00:00.000Z,0.18508,0.18642,0.18427,0.18532,508256.33790348,0.18532
2017-09-26T16:00:00.000Z,0.18508,0.18940,0.18425,0.18727,789458.01969368,0.18727
2017-09-26T20:00:00.000Z,0.18731,0.19400,0.18606,0.18850,3009921.67499949,0.18850
2017-09-27T00:00:00.000Z,0.18850,0.19199,0.18700,0.19099,1240468.99667497,0.19099
2017-09-27T04:00:00.000Z,0.19080,0.19700,0.18984,0.19682,1349414.63842771,0.19682
2017-09-27T08:00:00.000Z,0.19591,0.21000,0.19429,0.20650,2678181.57657850,0.20650
2017-09-27T12:00:00.000Z,0.20628,0.21499,0.20430,0.20970,5686872.26502919,0.20970
2017-09-27T16:00:00.000Z,0.20975,0.21401,0.20712,0.21350,2444358.10103840,0.21350
2017-09-27T20:00:00.000Z,0.21367,0.21393,0.20911,0.21023,1815392.23898343,0.21023
2017-09-28T00:00:00.000Z,0.21034,0.21074,0.20356,0.20400,1232131.03077498,0.20400
2017-09-28T04:00:00.000Z,0.20355,0.20994,0.20121,0.20228,1968039.21890369,0.20228
2017-09-28T08:00:00.000Z,0.20227,0.20695,0.19700,0.20144,1823222.16929698,0.20144
2017-09-28T12:00:00.000Z,0.20144,0.20587,0.19801,0.20023,1394638.55445496,0.20023
2017-09-28T16:00:00.000Z,0.20023,0.20600,0.19958,0.20179,2737667.54131864,0.20179
2017-09-28T20:00:00.000Z,0.20142,0.20418,0.20102,0.20214,654480.94432552,0.20214
2017-09-29T00:00:00.000Z,0.20197,0.20236,0.18911,0.19082,2419252.68686299,0.19082
2017-09-29T04:00:00.000Z,0.19098,0.19654,0.18769,0.19503,1594520.78290508,0.19503
2017-09-29T08:00:00.000Z,0.19470,0.19699,0.19256,0.19652,987446.03692059,0.19652
2017-09-29T12:00:00.000Z,0.19648,0.20000,0.19542,0.19872,863893.90274307,0.19872
2017-09-29T16:00:00.000Z,0.19877,0.20123,0.19680,0.19749,1040502.09501283,0.19749
2017-09-29T20:00:00.000Z,0.19758,0.19930,0.19630,0.19641,245099.18503717,0.19641
2017-09-30T00:00:00.000Z,0.19630,0.20149,0.19604,0.19968,601767.55820281,0.19968
2017-09-30T04:00:00.000Z,0.19978,0.20636,0.19978,0.20267,764126.50432992,0.20267
2017-09-30T08:00:00.000Z,0.20277,0.20572,0.20132,0.20229,575768.58539811,0.20229
2017-09-30T12:00:00.000Z,0.20308,0.20555,0.20100,0.20388,588752.15129536,0.20388
2017-09-30T16:00:00.000Z,0.20388,0.20548,0.20219,0.20315,677509.90623589,0.20315
2017-09-30T20:00:00.000Z,0.20350,0.20447,0.19511,0.19903,2902032.73829159,0.19903
2017-10-01T00:00:00.000Z,0.19904,0.20189,0.19661,0.19827,884814.74286774,0.19827
2017-10-01T04:00:00.000Z,0.19827,0.20094,0.19824,0.20094,262348.49171996,0.20094
2017-10-01T08:00:00.000Z,0.20094,0.20094,0.19877,0.19977,469004.40703071,0.19977
2017-10-01T12:00:00.000Z,0.19959,0.19969,0.19700,0.19797,683982.75829937,0.19797
2017-10-01T16:00:00.000Z,0.19772,0.19919,0.19602,0.19830,602043.96203850,0.19830
2017-10-01T20:00:00.000Z,0.19840,0.20969,0.19750,0.20735,934712.78563748,0.20735
2017-10-02T00:00:00.000Z,0.20749,0.20940,0.20316,0.20352,1488862.03618070,0.20352
2017-10-02T04:00:00.000Z,0.20369,0.20600,0.20258,0.20363,474104.11539231,0.20363
2017-10-02T08:00:00.000Z,0.20281,0.20497,0.20081,0.20169,515926.78039014,0.20169
2017-10-02T12:00:00.000Z,0.20150,0.20351,0.20000,0.20151,1720300.85305610,0.20151
2017-10-02T16:00:00.000Z,0.20175,0.20651,0.20161,0.20604,983025.70264840,0.20604
2017-10-02T20:00:00.000Z,0.20603,0.20737,0.20013,0.20302,1315126.03581055,0.20302
2017-10-03T00:00:00.000Z,0.20290,0.20626,0.20264,0.20550,557087.51274047,0.20550
2017-10-03T04:00:00.000Z,0.20448,0.20517,0.19961,0.20085,1167740.13551145,0.20085
2017-10-03T08:00:00.000Z,0.20012,0.20235,0.19926,0.19977,517177.22612276,0.19977
2017-10-03T12:00:00.000Z,0.20000,0.20100,0.19800,0.20066,1009003.26667884,0.20066
2017-10-03T16:00:00.000Z,0.20096,0.20428,0.20013,0.20207,989035.64881336,0.20207
2017-10-03T20:00:00.000Z,0.20169,0.20359,0.20150,0.20272,362327.66087878,0.20272
2017-10-04T00:00:00.000Z,0.20280,0.20479,0.20233,0.20340,388216.65710819,0.20340
2017-10-04T04:00:00.000Z,0.20348,0.20719,0.20325,0.20662,1233023.30931711,0.20662
2017-10-04T08:00:00.000Z,0.20632,0.20638,0.20271,0.20400,871190.45895784,0.20400
2017-10-04T12:00:00.000Z,0.20439,0.21199,0.20150,0.21188,2522980.64998306,0.21188
2017-10-04T16:00:00.000Z,0.21170,0.21599,0.20890,0.21207,4212739.24131270,0.21207
2017-10-04T20:00:00.000Z,0.21218,0.21900,0.21117,0.21392,3127882.29352085,0.21392
2017-10-05T00:00:00.000Z,0.21361,0.23295,0.21361,0.22464,7378962.65858443,0.22464
2017-10-05T04:00:00.000Z,0.22533,0.22799,0.21644,0.22296,2750607.41729218,0.22296
2017-10-05T08:00:00.000Z,0.22255,0.22536,0.21875,0.22180,1552631.24145776,0.22180
2017-10-05T12:00:00.000Z,0.22180,0.23750,0.22170,0.23700,3255239.35943573,0.23700
2017-10-05T16:00:00.000Z,0.23689,0.23718,0.22823,0.23678,3123345.87267565,0.23678
2017-10-05T20:00:00.000Z,0.23690,0.24467,0.23579,0.23820,4463119.02345379,0.23820
2017-10-06T00:00:00.000Z,0.23820,0.23944,0.23345,0.23430,2272219.16600403,0.23430
2017-10-06T04:00:00.000Z,0.23408,0.23884,0.23400,0.23764,1618821.43610691,0.23764
2017-10-06T08:00:00.000Z,0.23764,0.24400,0.23760,0.24145,1479997.92001451,0.24145
2017-10-06T12:00:00.000Z,0.24134,0.24400,0.23713,0.24080,2805870.66115427,0.24080
2017-10-06T16:00:00.000Z,0.24200,0.24334,0.23750,0.23762,1475548.94907934,0.23762
2017-10-06T20:00:00.000Z,0.23762,0.23762,0.23277,0.23360,2156587.52190102,0.23360
2017-10-07T00:00:00.000Z,0.23360,0.23699,0.23281,0.23390,1662187.78123881,0.23390
2017-10-07T04:00:00.000Z,0.23430,0.23750,0.23376,0.23530,491904.81693546,0.23530
2017-10-07T08:00:00.000Z,0.23530,0.23640,0.23290,0.23375,675929.53335344,0.23375
2017-10-07T12:00:00.000Z,0.23295,0.23570,0.23203,0.23500,1020720.73648238,0.23500
2017-10-07T16:00:00.000Z,0.23500,0.23587,0.23341,0.23560,597930.73494657,0.23560
2017-10-07T20:00:00.000Z,0.23443,0.24050,0.23423,0.23873,1609679.77375792,0.23873
2017-10-08T00:00:00.000Z,0.23992,0.24060,0.23769,0.23992,622243.39230150,0.23992
2017-10-08T04:00:00.000Z,0.23992,0.24071,0.23792,0.24060,293297.32646939,0.24060
2017-10-08T08:00:00.000Z,0.24060,0.26699,0.23995,0.26696,6223498.75799055,0.26696
2017-10-08T12:00:00.000Z,0.26603,0.26990,0.25504,0.26080,4810569.20735782,0.26080
2017-10-08T16:00:00.000Z,0.26070,0.26500,0.25804,0.26270,2290128.30492818,0.26270
2017-10-08T20:00:00.000Z,0.26376,0.27990,0.26280,0.27754,4387768.73010467,0.27754
2017-10-09T00:00:00.000Z,0.27900,0.27989,0.25892,0.26900,4420925.62947793,0.26900
2017-10-09T04:00:00.000Z,0.26900,0.27391,0.26551,0.26618,2024806.40122346,0.26618
2017-10-09T08:00:00.000Z,0.26760,0.27355,0.26331,0.27085,1684311.39039722,0.27085
2017-10-09T12:00:00.000Z,0.27085,0.27678,0.26951,0.27340,1719095.37765389,0.27340
2017-10-09T16:00:00.000Z,0.27340,0.27500,0.23700,0.24651,5362001.93431841,0.24651
2017-10-09T20:00:00.000Z,0.24153,0.25899,0.24021,0.24904,4504151.42509415,0.24904
2017-10-10T00:00:00.000Z,0.24907,0.25143,0.23705,0.24617,3945056.96407576,0.24617
2017-10-10T04:00:00.000Z,0.24752,0.25368,0.24404,0.25026,813716.60789697,0.25026
2017-10-10T08:00:00.000Z,0.25045,0.25499,0.24690,0.25100,1379330.50098622,0.25100
2017-10-10T12:00:00.000Z,0.25104,0.27300,0.24847,0.25677,3974529.24853838,0.25677
2017-10-10T16:00:00.000Z,0.25786,0.26300,0.25164,0.25750,2950346.98721003,0.25750
2017-10-10T20:00:00.000Z,0.25750,0.26190,0.25282,0.25748,1488907.87437343,0.25748
2017-10-11T00:00:00.000Z,0.25599,0.26100,0.25305,0.26090,1035042.94274911,0.26090
2017-10-11T04:00:00.000Z,0.26030,0.26604,0.25700,0.26467,1242426.94789654,0.26467
2017-10-11T08:00:00.000Z,0.26467,0.26948,0.25601,0.25653,1978655.81814515,0.25653
2017-10-11T12:00:00.000Z,0.26005,0.26200,0.25683,0.26039,1511817.05059593,0.26039
2017-10-11T16:00:00.000Z,0.26003,0.26274,0.25753,0.26200,1255313.84493548,0.26200
2017-10-11T20:00:00.000Z,0.26200,0.26456,0.25990,0.26300,1150178.31617805,0.26300
2017-10-12T00:00:00.000Z,0.26300,0.26580,0.26129,0.26192,984354.09903334,0.26192
2017-10-12T04:00:00.000Z,0.26196,0.26394,0.25400,0.25709,1355695.77439964,0.25709
2017-10-12T08:00:00.000Z,0.25571,0.26000,0.25041,0.25918,1309914.84054182,0.25918
2017-10-12T12:00:00.000Z,0.25857,0.26197,0.25100,0.25519,3635198.53332135,0.25519
2017-10-12T16:00:00.000Z,0.25523,0.25577,0.24613,0.25188,5609200.13873283,0.25188
2017-10-12T20:00:00.000Z,0.25183,0.25493,0.24590,0.24590,1130490.89453980,0.24590
2017-10-13T00:00:00.000Z,0.24588,0.24847,0.23800,0.24300,4188871.33391825,0.24300
2017-10-13T04:00:00.000Z,0.24300,0.25550,0.23500,0.24502,2833420.87045225,0.24502
2017-10-13T08:00:00.000Z,0.24502,0.24830,0.24123,0.24485,980189.04026554,0.24485
2017-10-13T12:00:00.000Z,0.24485,0.26100,0.24450,0.25792,2192148.90272466,0.25792
2017-10-13T16:00:00.000Z,0.25786,0.26500,0.25500,0.25607,2525703.30088718,0.25607
2017-10-13T20:00:00.000Z,0.25697,0.26199,0.25290,0.25887,921187.65121658,0.25887
2017-10-14T00:00:00.000Z,0.25900,0.26800,0.25800,0.26250,1602864.11397578,0.26250
2017-10-14T04:00:00.000Z,0.26150,0.26250,0.25600,0.25924,906420.03172634,0.25924
2017-10-14T08:00:00.000Z,0.25905,0.26742,0.25750,0.25969,1122864.76572257,0.25969
2017-10-14T12:00:00.000Z,0.25920,0.26297,0.25493,0.25791,1076400.80398682,0.25791
2017-10-14T16:00:00.000Z,0.25791,0.26390,0.25501,0.26000,1071475.78204707,0.26000
2017-10-14T20:00:00.000Z,0.25970,0.26300,0.25600,0.25807,1410578.08878716,0.25807
2017-10-15T00:00:00.000Z,0.25600,0.26389,0.25388,0.26177,1514381.96610913,0.26177
2017-10-15T04:00:00.000Z,0.26047,0.26200,0.25553,0.25804,322431.86370104,0.25804
2017-10-15T08:00:00.000Z,0.25704,0.25977,0.25000,0.25222,1042968.68722931,0.25222
2017-10-15T12:00:00.000Z,0.25278,0.26300,0.25261,0.26207,1267177.09120439,0.26207
