"Index","KrakenXmrUsd.Open","KrakenXmrUsd.High","KrakenXmrUsd.Low","KrakenXmrUsd.Close","KrakenXmrUsd.Volume","KrakenXmrUsd.Adjusted"
2017-09-10T04:00:00.000Z,113.67,113.67,105.00,107.00,3095.87472265,107.00
2017-09-10T08:00:00.000Z,109.00,118.75,105.09,110.25,636.82254032,110.25
2017-09-10T12:00:00.000Z,110.20,117.49,108.24,115.99,380.83620981,115.99
2017-09-10T16:00:00.000Z,113.08,121.98,113.00,118.91,562.61570902,118.91
2017-09-10T20:00:00.000Z,118.91,118.92,112.00,112.47,327.47106416,112.47
2017-09-11T00:00:00.000Z,113.40,117.46,111.94,116.96,233.92923081,116.96
2017-09-11T04:00:00.000Z,116.96,122.55,109.99,112.09,804.91295701,112.09
2017-09-11T08:00:00.000Z,112.00,117.00,111.19,112.79,118.90333839,112.79
2017-09-11T12:00:00.000Z,112.79,115.93,111.60,113.52,95.05691388,113.52
2017-09-11T16:00:00.000Z,113.54,115.90,111.98,112.50,125.76923559,112.50
2017-09-11T20:00:00.000Z,112.50,114.76,111.19,112.36,94.21494502,112.36
2017-09-12T00:00:00.000Z,112.36,118.99,110.29,113.01,892.73183347,113.01
2017-09-12T04:00:00.000Z,113.01,116.49,112.91,116.34,595.28502797,116.34
2017-09-12T08:00:00.000Z,116.34,116.94,113.84,114.16,636.08461713,114.16
2017-09-12T12:00:00.000Z,115.77,116.99,113.27,114.60,386.81769121,114.60
2017-09-12T16:00:00.000Z,114.60,116.42,110.01,112.43,1953.88801568,112.43
2017-09-12T20:00:00.000Z,112.43,115.88,111.24,111.52,478.16384985,111.52
2017-09-13T00:00:00.000Z,111.52,111.52,103.70,103.70,1835.88674072,103.70
2017-09-13T04:00:00.000Z,103.70,106.95,101.00,103.51,2479.44516828,103.51
2017-09-13T08:00:00.000Z,104.29,114.89,102.43,104.43,2371.68614909,104.43
2017-09-13T12:00:00.000Z,104.43,108.86,103.02,106.93,1545.63433495,106.93
2017-09-13T16:00:00.000Z,106.93,114.80,105.10,107.31,1127.86482155,107.31
2017-09-13T20:00:00.000Z,107.31,112.81,107.13,111.23,794.92073101,111.23
2017-09-14T00:00:00.000Z,111.23,120.00,110.26,113.29,1702.74483787,113.29
2017-09-14T04:00:00.000Z,113.29,120.00,113.01,116.08,1171.04988684,116.08
2017-09-14T08:00:00.000Z,115.96,116.16,103.00,103.90,3227.34577200,103.90
2017-09-14T12:00:00.000Z,103.90,106.00,96.12,97.00,5719.96015390,97.00
2017-09-14T16:00:00.000Z,98.26,99.34,88.00,94.91,6923.48573519,94.91
2017-09-14T20:00:00.000Z,94.91,97.21,87.46,87.70,3803.59114554,87.70
2017-09-15T00:00:00.000Z,87.69,98.99,87.01,94.80,5521.74518118,94.80
2017-09-15T04:00:00.000Z,95.30,97.49,82.70,82.88,2943.95053170,82.88
2017-09-15T08:00:00.000Z,83.07,86.99,73.00,74.10,4367.58743717,74.10
2017-09-15T12:00:00.000Z,74.09,109.99,74.09,103.00,5444.53267984,103.00
2017-09-15T16:00:00.000Z,103.25,109.90,95.65,101.92,5050.14876627,101.92
2017-09-15T20:00:00.000Z,101.91,106.18,98.97,100.00,1458.57057084,100.00
2017-09-16T00:00:00.000Z,100.00,106.14,100.00,103.65,1414.36856470,103.65
2017-09-16T04:00:00.000Z,103.65,106.19,101.74,105.59,1140.87361700,105.59
2017-09-16T08:00:00.000Z,105.59,107.23,96.20,98.92,1390.78956871,98.92
2017-09-16T12:00:00.000Z,98.92,99.85,95.34,96.00,581.74143609,96.00
2017-09-16T16:00:00.000Z,96.06,101.49,96.01,98.06,1079.41772766,98.06
2017-09-16T20:00:00.000Z,98.06,99.81,96.40,99.27,380.84924137,99.27
2017-09-17T00:00:00.000Z,97.45,97.45,95.16,95.36,369.21466042,95.36
2017-09-17T04:00:00.000Z,95.33,97.87,91.00,91.55,955.41577044,91.55
2017-09-17T08:00:00.000Z,91.01,94.53,89.96,92.50,958.10383472,92.50
2017-09-17T12:00:00.000Z,92.50,97.88,92.50,96.45,2117.66468120,96.45
2017-09-17T16:00:00.000Z,96.45,97.66,96.00,96.59,770.05922195,96.59
2017-09-17T20:00:00.000Z,97.33,97.89,94.65,94.79,893.03959366,94.79
2017-09-18T00:00:00.000Z,95.23,97.75,94.99,97.00,361.78601759,97.00
2017-09-18T04:00:00.000Z,97.00,104.70,96.19,102.98,3780.32119667,102.98
2017-09-18T08:00:00.000Z,102.99,102.99,98.67,98.89,510.44473073,98.89
2017-09-18T12:00:00.000Z,98.89,107.24,98.89,102.31,8923.60022367,102.31
2017-09-18T16:00:00.000Z,102.31,102.87,99.17,99.90,1830.08899493,99.90
2017-09-18T20:00:00.000Z,99.90,102.89,99.90,101.75,474.55381126,101.75
2017-09-19T00:00:00.000Z,102.46,102.79,98.50,98.50,836.34490369,98.50
2017-09-19T04:00:00.000Z,98.50,99.24,94.94,97.24,836.98900817,97.24
2017-09-19T08:00:00.000Z,97.24,98.76,95.99,98.70,307.59007277,98.70
