Index,BTCE.Open,BTCE.High,BTCE.Low,BTCE.Close,BTCE.Volume,BTCE.Adjusted
2016-07-21T21:00:00.000+03:00,667.49,667.49,664.811,665.98,34.2351,665.98
2016-07-21T22:00:00.000+03:00,665.89,666.159,664.28,665.89,59.874179,665.89
2016-07-21T23:00:00.000+03:00,665.76,666.489,664.99,665.0,8.947254,665.0
2016-07-22T00:00:00.000+03:00,665.0,666.59,664.743,665.17,49.21689,665.17
2016-07-22T01:00:00.000+03:00,664.866,665.83,664.211,664.212,18.816532,664.212
2016-07-22T02:00:00.000+03:00,664.223,665.88,664.223,665.88,6.9003,665.88
2016-07-22T03:00:00.000+03:00,665.549,667.72,664.89,667.72,12.069993,667.72
2016-07-22T04:00:00.000+03:00,667.81,668.949,666.651,666.651,8.12197,666.651
2016-07-22T05:00:00.000+03:00,666.651,668.149,664.924,668.149,22.929694,668.149
2016-07-22T06:00:00.000+03:00,667.07,667.07,664.871,664.871,25.992923,664.871
2016-07-22T07:00:00.000+03:00,666.581,666.581,664.982,665.88,29.928354,665.88
2016-07-22T08:00:00.000+03:00,665.85,668.969,665.85,666.899,30.607203,666.899
2016-07-22T09:00:00.000+03:00,665.88,666.9,665.88,666.251,21.45022,666.251
2016-07-22T10:00:00.000+03:00,664.601,666.666,664.54,664.751,26.655375,664.751
2016-07-22T11:00:00.000+03:00,664.821,665.301,664.21,664.21,54.287641,664.21
2016-07-22T12:00:00.000+03:00,664.21,664.83,660.026,663.121,129.458138,663.121
2016-07-22T13:00:00.000+03:00,663.999,665.29,663.999,664.69,18.732062,664.69
2016-07-22T14:00:00.000+03:00,662.681,664.869,658.659,660.236,174.757381,660.236
2016-07-22T15:00:00.000+03:00,660.29,663.25,658.632,659.95,43.67026,659.95
2016-07-22T16:00:00.000+03:00,659.95,659.95,650.0,653.133,197.925375,653.133
2016-07-22T17:00:00.000+03:00,654.61,656.009,651.564,654.54,120.831476,654.54
2016-07-22T18:00:00.000+03:00,654.55,656.068,651.51,655.24,86.636909,655.24
2016-07-22T19:00:00.000+03:00,653.12,659.036,653.12,656.252,53.671433,656.252
